n,shape,OP,OI,residual
10,ellip3to1+smooth0.1,0.9737075331013911,0.22780175587910417,-3.3306690738754696e-16
10,ellip3to1+smooth0.2,0.9769211948611316,0.21360004454844678,-5.551115123125783e-16
10,ellip3to1+smooth0.3,0.9795779456288454,0.20106478666730948,-1.1102230246251565e-16
10,ellip3to1+smooth0.5,0.9836723970776277,0.17996837285354608,-9.992007221626409e-16
10,ellip3to1+jitter0.0,0.9697723675583151,0.24401138317779397,0.0
10,ellip3to1+jitter0.05,0.9691913988394676,0.24630881513984745,-4.440892098500626e-16
10,ellip3to1+jitter0.1,0.9676492000542857,0.25229947608804043,-1.3322676295501878e-15
10,ellip3to1+jitter0.2,0.9597387579455375,0.2808941375272127,-2.220446049250313e-16
10,ellip3to1_time,0.0,0.0002377033233642578,0.0
12,cube,0.9972678121510304,0.07387090663783828,-8.881784197001252e-16
12,xpoly,0.9890152854997215,0.1478132776441439,4.440892098500626e-16
12,ellip_3to1,0.9756469779972843,0.21934669891467612,-1.1102230246251565e-15
12,ellip_2to1,0.9931714949128798,0.11666354054508932,2.220446049250313e-16
12,ellip3to1+smooth0.0,0.9756469779972843,0.21934669891467612,-1.1102230246251565e-15
12,ellip3to1+smooth0.1,0.9789514151383492,0.20409342664236688,-3.3306690738754696e-16
12,ellip3to1+smooth0.2,0.9816235401971304,0.19082773732047587,-2.220446049250313e-16
12,ellip3to1+smooth0.3,0.9838138276405942,0.17919361747328544,-9.992007221626409e-16
12,ellip3to1+smooth0.5,0.9871542684111431,0.15976999204374942,-1.1102230246251565e-15
12,ellip3to1+jitter0.0,0.9756469779972843,0.21934669891467612,-1.1102230246251565e-15
12,ellip3to1+jitter0.05,0.9750550186808248,0.22196330900699549,-1.4432899320127035e-15
12,ellip3to1+jitter0.1,0.972893307026519,0.23125443378020594,2.220446049250313e-16
12,ellip3to1+jitter0.2,0.9635442592424295,0.26754898706770885,-7.771561172376096e-16
12,ellip3to1_time,0.0,0.00025200843811035156,0.0
